primary_access_id_project;access_id_project;access_name_project;regional_project;provinsi_project;area_project;pic_project;hpplan_project;status_po;number_po;tanggal_po;tahun_po;nilai_awal_po;hp_po;po_estimasi;eks_kompetitor;tgl_canvasing;surat_ijin_bak;bak_bak;status_bak;tanggal_bak;hp_bak;report_cbn;kmz_cbn;status_cbn;tgl_submite_cbn;tgl_approve_cbn;spk_nomor;spk_tanggal;spk_target_rfs;spk_hp;report_hld;apd_hld;boq_hld;status_hld;tgl_submit_hld;tgl_approve_hld;hp_hld;apd_lld;boq_lld;report_lld;autocad_lld;schematic_lld;maincore_lld;penambang_jalan_lld;bid_lld;status_lld;tgl_submite_lld;tgl_approve_lld;hp_lld;tgl_kom;tgl_pks;tiang_implementasi;kabel_implementasi;dpfo_implementasi;cortiang_implementasi;atp_implementasi;status_implementasi;tanggal_rfs;hp_rfs;tanggal_atp;hp_atp;tanggal_bast;main_status;remarks_status;submit_invoice_bast;nilai_invoice_bast;plan_invoice_bast;keterangan_bast;submit_invoice_retensi;nilai_invoice_retensi;plan_invoice_retensi;keterangan_retensi;total_invoice;total_sisa_invoice
1;;Bale Kambang RW 02;Regional 2;DKI Jakarta;Jakarta;Dimas;500;Tidak Terbit PO;;;;;;;;29/11/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"29/11/24 : Tandatangan BAK Reject
14/11/24 : Plan Revisit pembicaraan kompensasi tanggal 16 Nov 2024, kompensasi rw 7jt, kompensasi tanam tiang 800rb/btg, biaya keamanan (tni/polri/satpol pp) estimasi 3jt ";;;;;;;;;0;0
2; ;Bale Kambang RT 05 sampai 07 RW 01;Regional 2;DKI Jakarta;Jakarta;Dimas;476;Tidak Terbit PO;; ; ; ; ;; ;29/11/2024; ;;NOT OK; ; ; ; ;NOT OK; ; ;;;; ; ; ; ;NOT OK; ; ;; ; ; ; ; ; ; ; ;NOT OK; ; ;; ; ;; ; ; ;;NOT OK;; ; ; ; ;Y. DROP;"29/11/24 : Tandatangan BAK Reject
14/11/24 : Plan Revisit pembicaraan kompensasi tanggal 16 Nov 2024, kompensasi rw 7jt, kompensasi tanam tiang 800rb/btg, biaya keamanan (tni/polri/satpol pp) estimasi 3jt ";;;;;;;;;0;0
3;;Bintaro RW 03;Regional 2;DKI Jakarta;Jakarta;Nasrul;849;Tidak Terbit PO;;;;;;;;19/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"28/11/24 : Canvasing DoneRW minta 1,5 juta/tiang, 5jt/ 3ilar dan 25jt untuk biaya keamanan All RT
20/11/24: Koordinasi dengan Mb Alfina terkait keputusan 
14/11/24 : Progress check KMZ
Plan Canvasing: 46 (16 Nov 24) // sudah koordinasi dengan RW // ";;;;;;;;;0;0
4;;Cilandak Barat RW 04;Regional 2;DKI Jakarta;Jakarta;Nasrul;494;Tidak Terbit PO;;;;;;;;16/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"24/12/24 : RW mengizinkan tanam tiang estimasi 200 tiang, tapi menunggu pelantikan RW baru terlebih dahulu tanggal 3 Jan 24, plan tanggal 5 sosialisasi
16/12/24 : Sudah terbangun existing FS";;;;;;;;;0;0
5;;Cilandak Barat RW 08;Regional 2;DKI Jakarta;Jakarta;Nasrul;82;Tidak Terbit PO;;;;;;;;16/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;Sudah terbangun existing FS;;;;;;;;;0;0
6;;Cilandak Barat RW 13;Regional 2;DKI Jakarta;Jakarta;Nasrul;1252;Tidak Terbit PO;;;;;;;;16/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;Sudah terbangun existing FS;;;;;;;;;0;0
7;;Cipayung RW 01;Regional 2;DKI Jakarta;Jakarta;Nasrul;932;Tidak Terbit PO;;;;;;;;20/10/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;pihak RW tdk mengijinkan jaringan FS krn sdh byk tiang yg terpasang;;;;;;;;;0;0
8;;Cipinang Cempedak RW 01;Regional 2;DKI Jakarta;Jakarta;Nasrul;352;Tidak Terbit PO;;;;;;;;28/10/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;28/10/2024 : karna sudah banyak provider yang masuk sehingga sudah tidak ada space lagi untuk tanam tiang.;;;;;;;;;0;0
9;;Cipinang Cempedak RW 02;Regional 2;DKI Jakarta;Jakarta;Nasrul;615;Tidak Terbit PO;;;;;;;;28/10/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;28/10/2024 : karna sudah banyak provider yang masuk sehingga sudah tidak ada space lagi untuk tanam tiang.;;;;;;;;;0;0
10;;Cipinang Cempedak RW 04;Regional 2;DKI Jakarta;Jakarta;Nasrul;595;Tidak Terbit PO;;;;;;;;28/10/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;28/10/2024 : karna sudah banyak provider yang masuk sehingga sudah tidak ada space lagi untuk tanam tiang.;;;;;;;;;0;0
