"scraped_at","cluster_code","clean_list_name","work_order_number","route","scope","phase","route_summary_status","astri_type","astri_label","derived_status","file_count","upload_date","verified_by","verified_at","revision_by","revision_at","revision_remark","filename","detail_url"
"19-Aug-26 5:38:34 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","as_plan_drawing_dwg","APD DWG Cluster","APPROVED","1","2026-08-06 12:35:12","moch.putro",,,,,"as_plan_drawing_dwg_TRG000038_20260806123512_TRG000038  APD DWG LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA.dwg","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:35 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","as_plan_drawing_kmz","APD KMZ Cluster","APPROVED","2","2026-08-06 12:52:00","moch.putro",,,,,"as_plan_drawing_kmz_TRG000038_20260806125200_TRG000038  APD KMZ LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA.kmz","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:35 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","as_plan_drawing_subfeeder_kmz","APD Subfeeder kmz","ON REVIEW","2","2026-08-06 12:38:10",,,,,,"as_plan_drawing_subfeeder_kmz_TRG000038_20260806123810_TRG000038  APD KMZ SUBFEEDER LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA.kmz","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:35 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","permit_subfeeder","BA Permit Subfeeder","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:35 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","permit_cluster_aggreement","Berita Acara Kesepakatan","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:35 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","permit_open","Berita Acara Open","ON REVIEW","1","2026-07-23 21:33:22",,,,,,"permit_open_TRG000038_20260723213322_BA OPEN LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA.pdf","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:35 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","donation_approval","Cluster Approval Proposal","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:35 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","civil_work_acceptance_test","CW ATP","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:35 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","subfeeder_civil_work_acceptance_test","CW ATP Subfeeder","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:35 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","cluster_survey_form","Form Cluster Survey","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
