"regional_name","province_name","city_name","team_name","chief","rpm_area","sm_area","spv_area","snd_area","admin_area","snd_ho","rfs_ho","sitac_ho","dc_ho"
"REGIONAL 1","SUMSEL","PRABUMULIH","MITRA","Zulkarnain","8209326","7504021","","","9807922","0011223","8413723","9209823","8818124"
"REGIONAL 1","SUMUT","TEBING TINGGI","","Zulkarnain","","","","","","0011223","8413723","9209823",""
"REGIONAL 1","SUMSEL","PALEMBANG","MITRA","Zulkarnain","8209326","7504021","","","9807922","0011223","8413723","9209823","8818124"
"REGIONAL 1","SUMBAR","PAYAKUMBUH","","Zulkarnain","","","","","","0011223","8413723","9209823",""
"REGIONAL 1","RIAU","PEKANBARU","","Zulkarnain","","","","","","0011223","8413723","9209823",""
"REGIONAL 1","BENGKULU","BENGKULU","","Zulkarnain","","","","","","0011223","8413723","9209823",""
"REGIONAL 1","NAD","ACEH","","","8209326","","","","0214125","0011223","8413723","9209823","8413723"
"REGIONAL 1","NAD","LANGSA","","","8209326","","9314325","","0214125","0011223","8413723","9209823","8413723"
"REGIONAL 1","NAD","LHOKSEUMAWE","","","8209326","","9114425","","0214125","0011223","8413723","9209823","8413723"
"REGIONAL 1","LAMPUNG","LAMPUNG","","","8209326","","9913023","8814624","8814624","0011223","8413723","9209823","8413723"
"REGIONAL 1","JAMBI","JAMBI","","","8209326","6803121","9809023","0007524","0007524","0011223","8413723","9209823","8413723"
"REGIONAL 1","SUMBAR","PADANG","","Zulkarnain","","","","","","0011223","8413723","9209823",""
"REGIONAL 1","SUMSEL","LUBUKLINGGAU","","","8209326","7504021","9811923","","8814624","0011223","8413723","9209823","8818124"
"REGIONAL 1","SUMBAR","BUKITTINGGI","","Zulkarnain","","","","","","0011223","8413723","9209823",""
"REGIONAL 1","SUMSEL","MUSI BANYUASIN","MITRA","Zulkarnain","","","","","","0011223","8413723","9209823",""
"REGIONAL 1","SUMSEL","MUARA ENIM","","Zulkarnain","","","","","","0011223","8413723","9209823",""
"REGIONAL 1","SUMUT","MEDAN","","Zulkarnain","","","","","","0011223","8413723","9209823",""
"REGIONAL 1","SUMUT","PEMATANG SIANTAR","","Zulkarnain","","","","","","0011223","8413723","9209823",""
"REGIONAL 1","KEPRI","BATAM","","Albert","","","","","","0011223","8413723","9209823",""
"REGIONAL 1","RIAU","DUMAI","","Zulkarnain","","","","","","0011223","8413723","9209823",""
"REGIONAL 1","SUMSEL","OGAN KOMERING ILIR","","Zulkarnain","","","","","","0011223","8413723","9209823",""
"REGIONAL 1","SUMSEL","LAHAT","","Zulkarnain","","","","","","0011223","8413723","9209823",""
"REGIONAL 1","RIAU","SIAK","","Zulkarnain","","","","","","0011223","8413723","9209823",""
