item_code;item_name;item_category;item_group;uom;default_direction;is_active
4100-99-010;Penjualan Material ;Pendapatan Usaha;Pendapatan / Penjualan;UNIT;DEBIT;1
4100-99-020;Penjualan Jasa ;Pendapatan Usaha;Pendapatan / Penjualan;UNIT;DEBIT;1
4200-99-030;Pendapatan Jasa Giro ;Pendapatan Lain-lain;Pendapatan / Penjualan;UNIT;DEBIT;1
4200-99-040;Pendapatan Lain-Lain ;Pendapatan Lain-lain;Pendapatan / Penjualan;UNIT;DEBIT;1
5100-99-010;Harga Pokok Material/Penjualan;Biaya Pokok Proyek (HPP) / Biaya Atas Pendapatan;Biaya Langsung;UNIT;KREDIT;1
5200-99-010;Biaya Upah Mandor ;Biaya Upah Mandor;Biaya Langsung;UNIT;KREDIT;1
5300-99-020;Biaya Freelance Project ;Biaya Overhead Operasional Proyek;Biaya Langsung;UNIT;KREDIT;1
5300-99-030;Biaya Proyek ;Biaya Overhead Operasional Proyek;Biaya Langsung;UNIT;KREDIT;1
5300-99-040;Biaya Proyek - BBM ;Biaya Overhead Operasional Proyek;Biaya Langsung;UNIT;KREDIT;1
5300-99-050;Biaya Proyek - ATK ;Biaya Overhead Operasional Proyek;Biaya Langsung;UNIT;KREDIT;1
5300-99-060;Biaya Proyek - ATP ;Biaya Overhead Operasional Proyek;Biaya Langsung;UNIT;KREDIT;1
5300-99-070;Biaya Proyek - SITAC;Biaya Overhead Operasional Proyek;Biaya Langsung;UNIT;KREDIT;1
5300-99-080;Biaya Proyek - Comcase;Biaya Overhead Operasional Proyek;Biaya Langsung;UNIT;KREDIT;1
5300-99-090;Biaya Proyek - Material Kecil ;Biaya Overhead Operasional Proyek;Biaya Langsung;UNIT;KREDIT;1
5300-99-100;Biaya Proyek - Perlengkapan ;Biaya Overhead Operasional Proyek;Biaya Langsung;UNIT;KREDIT;1
5400-99-110;Biaya Donasi;Biaya Donasi;Biaya Langsung;UNIT;KREDIT;1
5500-99-120;Biaya Perizinan Proyek ;Biaya Perizinan Proyek;Biaya Langsung;UNIT;KREDIT;1
5600-99-130;Biaya Survey Proyek;Biaya Survey Proyek;Biaya Langsung;UNIT;KREDIT;1
5700-99-140;Asuransi Proyek ;Biaya Asuransi Proyek;Biaya Langsung;UNIT;KREDIT;1
5800-99-150;Biaya Expedisi ;Biaya Ekspedisi;Biaya Langsung;UNIT;KREDIT;1
5900-99-160;Biaya Entertain Proyek;Biaya Entertaint Proyek;Biaya Langsung;UNIT;KREDIT;1
51000-99-170;Biaya Denda Proyek ;Biaya Denda Proyek;Biaya Langsung;UNIT;KREDIT;1
51100-99-180;Biaya Penghapusan Piutang ;Biaya Penghapusan Piutang ;Biaya Langsung;UNIT;KREDIT;1
6100-99-010;Biaya Gaji Karyawan ;Biaya Karyawan;Biaya Operasional (Tidak Langsung);UNIT;KREDIT;1
6100-99-020;Biaya Pajak Penghasilan Pasal 21 ;Biaya Karyawan;Biaya Operasional (Tidak Langsung);UNIT;KREDIT;1
6100-99-030;Biaya rekrutmen ;Biaya Karyawan;Biaya Operasional (Tidak Langsung);UNIT;KREDIT;1
6100-99-040;Biaya Pelatihan ;Biaya Karyawan;Biaya Operasional (Tidak Langsung);UNIT;KREDIT;1
6100-99-050;Biaya Pengobatan;Biaya Karyawan;Biaya Operasional (Tidak Langsung);UNIT;KREDIT;1
6100-99-060;Biaya Asuransi Umum ;Biaya Karyawan;Biaya Operasional (Tidak Langsung);UNIT;KREDIT;1
6200-99-070;Biaya Perjalanan Dinas Dalam Kota ;Biaya Perjalanan Dinas;Biaya Operasional (Tidak Langsung);UNIT;KREDIT;1
6200-99-080;Biaya Perjalanan Dinas Luar Kota ;Biaya Perjalanan Dinas;Biaya Operasional (Tidak Langsung);UNIT;KREDIT;1
6200-99-090;Biaya Perjalanan Dinas Luar Negeri ;Biaya Perjalanan Dinas;Biaya Operasional (Tidak Langsung);UNIT;KREDIT;1
6300-99-100;Biaya Materai ;Biaya ATK dan Pengiriman Dokumen;Biaya Operasional (Tidak Langsung);UNIT;KREDIT;1
6300-99-110;Biaya Fotocopy/Jilid/Kalkir/Blueprint ;Biaya ATK dan Pengiriman Dokumen;Biaya Operasional (Tidak Langsung);UNIT;KREDIT;1
6300-99-120;Biaya Pengiriman ;Biaya ATK dan Pengiriman Dokumen;Biaya Operasional (Tidak Langsung);UNIT;KREDIT;1
6300-99-130;Biaya Alat Tulis Kantor - ATK ;Biaya ATK dan Pengiriman Dokumen;Biaya Operasional (Tidak Langsung);UNIT;KREDIT;1
6400-99-140;Biaya Listrik;Biaya Listrik, Telepon dan Air;Biaya Operasional (Tidak Langsung);UNIT;KREDIT;1
6400-99-150;Biaya Telepon &  Internet ;Biaya Listrik, Telepon dan Air;Biaya Operasional (Tidak Langsung);UNIT;KREDIT;1
6400-99-160;Biaya Air ;Biaya Listrik, Telepon dan Air;Biaya Operasional (Tidak Langsung);UNIT;KREDIT;1
