cutoff_group,cluster_name,cluster_code,regional_name,province_name,city_name,team_name,rpm,sm,spv,status_current,status_bak,status_valsal,status_batch_approval,status_drm,status_atp,status_checklist_document,hp_plan,homepass_bak,homepass_valsal,hp_donasi,homepass_drm,olt_name,ba_open_date,bak_date,valsal_date,submission_date,released_at,drm_date,email_atp_date,actual_atp_date,rfs_date,rfs_cluster_id,po_type,INITIAL,po_number,po_date,po_value,status_po,po_version_label,remark_po,remark_general
ATP,KELURAHAN DENGKEK PATI,PTI000198,REGIONAL 3,JATENG,PATI,,,,,ATP,DONE,DONE,RELEASED,DONE,DONE,ON PROGRESS,,,,,591,,,,,,,2/12/2025,7/2/2026,10/2/2026,1/15/2026,,CLUSTER,INITIAL,7400069534,2/28/2025,122834500,,v1,PO AWAL,
ATP,KELURAHAN COT CUT ACEH,BNA000326,REGIONAL 1,NAD,ACEH,,,,,ATP,DONE,DONE,RELEASED,DONE,,ON PROGRESS,,,,,432,,,,,,,10/31/2025,,2/27/2026,2/25/2026,,CLUSTER,INITIAL,7400102817,11/13/2025,206363750,,v1,PO AWAL,
ATP,PERUMAHAN JEULINGKE RESIDENCE,BNA000129,REGIONAL 1,NAD,ACEH,,,,,ATP,DONE,DONE,RELEASED,DONE,,ON PROGRESS,,,,,500,,,,,,,10/14/2025,,2/27/2026,2/28/2026,,CLUSTER,INITIAL,7400100935,10/31/2025,98385000,,v1,PO AWAL,
RFS,TUNGGULPANDEAN RW 01 JEPARA,JPA000331,REGIONAL 3,JATENG,JEPARA,,,,,RFS,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,329,,,,,,,2/13/2025,,,4/16/2026,,CLUSTER,INITIAL,7400071896,3/24/2025,63556500,,v1,PO AWAL,
RFS,TUNGGULPANDEAN RW 02 JEPARA,JPA000332,REGIONAL 3,JATENG,JEPARA,,,,,RFS,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,323,,,,,,,2/13/2025,,,4/27/2026,,CLUSTER,INITIAL,7400071898,3/24/2025,77859250,,v1,PO AWAL,
RFS,Perumahan Mapanget Griya 4 Minahasa,MND000086,REGIONAL 5,SULUT,MANADO,,,,,RFS,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,282,,,,,,,7/5/2025,4/23/2026,4/23/2026,3/27/2026,,CLUSTER,INITIAL,7400087502,7/23/2025,55869250,,v1,PO AWAL,
RFS,PERUMAHAN GRIYA PANIKI INDAH LINGKUNGAN 10 PANIKI BAWAH MANADO,MND000267,REGIONAL 5,SULUT,MANADO,,,,,RFS,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,2205,,,,,,,8/12/2025,,,3/31/2026,,CLUSTER,INITIAL,7400094038,9/4/2025,386632500,,v1,PO AWAL,
RFS,PERUMAHAN GRIYA PANIKI INDAH LINGKUNGAN 5 BENGKOL MANADO,MND000268,REGIONAL 5,SULUT,MANADO,,,,,RFS,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,2647,,,,,,,9/6/2025,,,4/23/2026,,CLUSTER,INITIAL,7400107499,12/22/2025,378993500,,v1,PO AWAL,
RFS,PERUMAHAN GRIYA PANIKI INDAH LINGKUNGAN 9 DAN 10 BUHA MANADO,MND000269,REGIONAL 5,SULUT,MANADO,,,,,RFS,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,1989,,,,,,,8/16/2025,,,3/31/2026,,CLUSTER,INITIAL,7400094036,9/4/2025,286257750,,v1,PO AWAL,
ATP,LEMAHDUWUR RW 02 ADIWERNA,TGL000637,REGIONAL 3,JATENG,TEGAL,,,,,ATP,DONE,DONE,RELEASED,DONE,DONE,ON PROGRESS,,,,,134,,,,,,,11/5/2025,,4/1/2026,2/28/2026,,CLUSTER,INITIAL,7400103572,11/21/2025,33933250,,v1,PO AWAL,
