no_surat_jalan,id_lokasi_gudang,id_bowheer,id_sumber_material,id_kode_item,jumlah_stok,satuan_stok,merk_stok,no_haspel_stok,no_ref_stok,keterangan_stok,tanggal_upload_stok,id_user,surat_jalan,evidence,no_pr_logistik,nomor_spk,no_po_logistik,id_lokasi_gudang_pengiriman,tanggal_estimasi_sampai,nama_ekspedisi,pic_ekspedisi,status_approve_sm,CREATED_AT,ref_module,ref_id,ref_detail_id,ref_number,is_system_generated,approved_by,approved_at,adjustment_reason
STOK_AWAL_ACEH,1,23,19,14,3,Batang,,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,20,5,Batang,,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,21,6,Batang,,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,22,151,Batang,,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,23,222,Batang,,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,88,26011,Meter,,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,90,15401,Meter,,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,92,20684,Meter,,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,94,9626,Meter,,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,96,4046,Meter,,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,108,191,Meter,,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,110,536,Pc(s),,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,113,2023,Pc(s),,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,114,990,Pc(s),,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,117,2480,Pc(s),,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,119,92,Roll,,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,122,38,Pc(s),,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,123,13000,Meter,,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,125,50,Pc(s),,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,126,1600,Pc(s),,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,130,975,Pc(s),,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,132,8,Pc(s),,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,157,512,Pc(s),,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
STOK_AWAL_ACEH,1,23,19,171,50,Unit,,,,Stock awal migrasi,5/19/2026 8:00,7,,,,,,,,,,1,5/19/2026 8:00,,,,,0,,,
