id_kode_item,kategori_item,designator,nama_item,satuan_item,project_item,id_bowheer_pemilik_item,harga_penjualan
1,TIANG,A-TG-TFO-001,Tiang 7 Mtr,Batang,Telkom,23,
2,TIANG,A-TG-TFO-010,Tiang 7 Mtr Iforte,Batang,iForte,23,
3,TIANG,A-TG-TFO-002,Tiang 7 Mtr 2 Segment,Batang,Telkom,23,
4,TIANG,A-TG-TFO-011,Tiang 7 Mtr 2 Segment iForte,Batang,iForte,23,
5,TIANG,A-TG-TFO-003,Tiang 7 Mtr 3 Segment,Batang,Telkom,23,
6,TIANG,A-TG-TFO-012,Tiang 7 Mtr 3 Segment iForte,Batang, iForte,23,
7,TIANG,A-TG-TFO-004,Tiang 9 Mtr,Batang,Telkom,23,
8,TIANG,A-TG-TFO-013,Tiang 9 Mtr iForte,Batang, iForte,23,
9,TIANG,A-TG-TFO-005,TIang 6 Mtr,Batang,Fiberstar,23,
10,TIANG,A-TG-TFO-006,"Tiang 7 Mtr 3""",Batang,Fiberstar,23,
11,TIANG,A-TG-TFO-007,"Tiang 7 Mtr 4""",Batang,Fiberstar,23,
12,TIANG,A-TG-TFO-008,"Tiang 9 Mtr 4""",Batang,Fiberstar,23,
13,TIANG,A-TG-TFO-009,"Tiang 7 Mtr 2,5"" AS",Batang,Asia Net,23,
14,TIANG,A-TG-GVS-001,Pipa Galvanis 2 Inch,Batang,Telkom,23,
15,TIANG,A-TG-GVS-002,Pipa Galvanis 4 Inch,Batang,Telkom,23,
16,TIANG,B-TG-TFO-001,Pipa Galvanis 4 Inch,Batang,iForte,10,
17,TIANG,B-TG-TFO-002,Tiang 6 Mtr,Batang,iForte,10,
18,TIANG,B-TG-TFO-003,Tiang 7 Mtr,Batang,iForte,10,
19,TIANG,B-TG-TFO-004,Tiang 9 Mtr,Batang,iForte,10,
20,TIANG,C-TG-TFO-001,"Tiang 7 Mtr 3""",Batang,My Repubilc,11,
