route,zeyn_doc_name,astri_doc_label,astri_doc_type,match_status,sample_astri_status,sample_file_count,recommended_action,mapping_note
ATP CLUSTER - CW ATP,Berita Acara Kesepakatan,Berita Acara Kesepakatan,permit_cluster_aggreement,YES,NOT UPLOADED,0,AUTO_SYNC,
ATP CLUSTER - CW ATP,Berita Acara Open,Berita Acara Open,permit_open,YES,ON REVIEW,1,AUTO_SYNC,
ATP CLUSTER - CW ATP,Cluster Approval Proposal,Cluster Approval Proposal,donation_approval,YES,NOT UPLOADED,0,AUTO_SYNC,
ATP CLUSTER - CW ATP,CW ATP,CW ATP,civil_work_acceptance_test,YES,NOT UPLOADED,0,AUTO_SYNC,
ATP CLUSTER - CW ATP,Form Cluster Survey,Form Cluster Survey,cluster_survey_form,YES,NOT UPLOADED,0,AUTO_SYNC,
ATP CLUSTER - CW ATP,Form Free Layanan,Form Free Layanan,permit_vip_form,YES,NOT UPLOADED,0,AUTO_SYNC,
ATP CLUSTER - CW ATP,Layout SnD Kasar,Layout SnD Kasar,rough_design_layout,YES,ON REVIEW,1,AUTO_SYNC,
ATP CLUSTER - CW ATP,Redline,Redline,redline,YES,NOT UPLOADED,0,AUTO_SYNC,
ATP CLUSTER - CW ATP,(tidak ada di ZEYN),APD DWG Cluster,as_plan_drawing_dwg,EXTRA_ASTRI,APPROVED,1,IGNORE_OR_ADD_TO_ZEYN,
ATP CLUSTER - CW ATP,(tidak ada di ZEYN),APD KMZ Cluster,as_plan_drawing_kmz,EXTRA_ASTRI,ON REVIEW,2,IGNORE_OR_ADD_TO_ZEYN,
ATP CLUSTER - CW ATP,(tidak ada di ZEYN),APD Subfeeder kmz,as_plan_drawing_subfeeder_kmz,EXTRA_ASTRI,ON REVIEW,2,IGNORE_OR_ADD_TO_ZEYN,
ATP CLUSTER - CW ATP,(tidak ada di ZEYN),BA Permit Subfeeder,permit_subfeeder,EXTRA_ASTRI,NOT UPLOADED,0,IGNORE_OR_ADD_TO_ZEYN,
ATP CLUSTER - CW ATP,(tidak ada di ZEYN),CW ATP Subfeeder,subfeeder_civil_work_acceptance_test,EXTRA_ASTRI,NOT UPLOADED,0,IGNORE_OR_ADD_TO_ZEYN,
ATP CLUSTER - CW ATP,(tidak ada di ZEYN),Homepass Database,homepass_database,EXTRA_ASTRI,APPROVED,1,IGNORE_OR_ADD_TO_ZEYN,
ATP CLUSTER - CW ATP,(tidak ada di ZEYN),Layout Validasi Sales,sales_validation_layout,EXTRA_ASTRI,NOT UPLOADED,0,IGNORE_OR_ADD_TO_ZEYN,
ATP CLUSTER - CW ATP,(tidak ada di ZEYN),PTSP,ptsp,EXTRA_ASTRI,NOT UPLOADED,0,IGNORE_OR_ADD_TO_ZEYN,
ATP CLUSTER - CW ATP,(tidak ada di ZEYN),Redline Subfeeder,subfeeder_redline,EXTRA_ASTRI,NOT UPLOADED,0,IGNORE_OR_ADD_TO_ZEYN,
ATP CLUSTER - CW ATP,(tidak ada di ZEYN),Rekomtek,rekomtek,EXTRA_ASTRI,NOT UPLOADED,0,IGNORE_OR_ADD_TO_ZEYN,
ATP CLUSTER - CW ATP,(tidak ada di ZEYN),TSSR,tssr,EXTRA_ASTRI,APPROVED,1,IGNORE_OR_ADD_TO_ZEYN,
ATP CLUSTER - FULL OPM,FULL OPM,,,NO,,,MAP_MANUAL,
ATP CLUSTER - FULL OPM,(tidak ada di ZEYN),OPM / OTDR ATP,opm_otdr_acceptance_test,EXTRA_ASTRI,NOT UPLOADED,0,IGNORE_OR_ADD_TO_ZEYN,
