po_number,po_date,total_value
7400017642,8/20/2023,160772946
7400023466,12/19/2023,226359300
7400025531,1/11/2024,59145100
7400025546,1/11/2024,146486000
7400025821,1/12/2024,188077000
7400026192,1/12/2024,46559000
7400027815,1/24/2024,171749500
7400029808,2/29/2024,199735600
7400032731,4/1/2024,307708456
7400032732,4/1/2024,358117525
7400037290,5/17/2024,183262100
7400037291,5/17/2024,127994700
7400038265,5/31/2024,11056000
7400042334,7/3/2024,180645600
7400042335,7/3/2024,170058600
7400043004,7/12/2024,92268700
7400043935,7/19/2024,125645000
7400043945,7/19/2024,225079100
7400045597,8/7/2024,25873300
7400046813,8/29/2024,126117200
7400046814,8/29/2024,119117800
7400046815,8/29/2024,252000500
7400046834,8/29/2024,257505700
7400046835,8/29/2024,203380500
7400048586,9/4/2024,157668300
7400049316,9/13/2024,111617400
7400049317,9/13/2024,93941800
7400049334,9/13/2024,194271900
7400049335,9/13/2024,133995000
7400049342,9/13/2024,139164600
7400050903,9/24/2024,130450800
7400050904,9/24/2024,206719000
7400050905,9/24/2024,18686400
7400050906,9/24/2024,80806200
7400050941,9/24/2024,85695300
7400050942,9/24/2024,169407000
7400050943,9/24/2024,118739500
7400052159,10/10/2024,142077300
7400052160,10/10/2024,30851500
7400052178,10/10/2024,65806100
7400052199,10/10/2024,232579900
7400052200,10/10/2024,123594200
7400052203,10/10/2024,116964200
7400052204,10/10/2024,122539600
7400054058,10/23/2024,112653500
7400054059,10/23/2024,217982000
7400054079,10/23/2024,106721000
7400054088,10/23/2024,404702500
7400054089,10/23/2024,17709200
7400054103,10/23/2024,154210000
7400055176,10/29/2024,175955500
7400055177,10/29/2024,158726700
7400055190,10/29/2024,158392600
7400055191,10/29/2024,115091800
7400055232,10/29/2024,239557600
7400055247,10/29/2024,51526800
7400055248,10/29/2024,62994500
7400055249,10/29/2024,86259400
7400055261,10/29/2024,154776500
7400057252,11/13/2024,92781400
7400058017,11/19/2024,85612500
7400058018,11/19/2024,181544100
7400059564,12/2/2024,133237000
7400059574,12/2/2024,76097500
7400059575,12/2/2024,113528700
7400059576,12/2/2024,135828500
7400059598,12/2/2024,156784700
7400060715,12/16/2024,210623000
7400060725,12/16/2024,35366400
7400060796,12/16/2024,143613600
7400060798,12/16/2024,106999000
7400060809,12/16/2024,219317700
7400060810,12/16/2024,117357300
7400060811,12/16/2024,104347300
7400060812,12/16/2024,74706300
7400060813,12/15/2024,72190500
7400062300,12/26/2024,38264500
7400062303,12/26/2024,174139300
7400062306,12/26/2024,147472600
7400062307,12/26/2024,117641500
7400062308,12/26/2024,60132500
7400062318,12/26/2024,112046300
7400062319,12/26/2024,107079400
7400062324,12/26/2024,97370000
7400062325,12/26/2024,100182600
7400062332,12/26/2024,252004600
7400062333,12/26/2024,224211800
7400062334,12/26/2024,130630100
7400062335,12/26/2024,76732500
7400062336,12/26/2024,112891900
7400062365,2/28/2025,12243500
7400063465,1/2/2025,97468300
7400063471,1/2/2025,172357900
7400064367,1/14/2025,34363700
7400064395,1/14/2025,152430400
7400065283,1/30/2025,206650900
7400065305,1/30/2025,133108500
7400065320,1/30/2025,288654700
7400065321,1/30/2025,158730500
7400065322,1/30/2025,151210750
7400066881,2/6/2025,215126000
7400066882,2/6/2025,146640000
7400067696,2/18/2025,84525250
7400067697,2/18/2025,127145650
7400067698,2/18/2025,198551900
7400067699,2/18/2025,154053500
7400069501,2/28/2025,255395750
7400069502,2/28/2025,102687000
7400069503,2/28/2025,128190250
7400069510,2/28/2025,16774750
7400069529,2/28/2025,107279500
7400069570,2/28/2025,153421750
7400069571,2/28/2025,164354500
7400070358,3/11/2025,100511750
7400070359,3/11/2025,116139000
7400070360,3/11/2025,198591750
7400070393,3/11/2025,215720000
7400071917,3/24/2025,126723750
7400071918,3/24/2025,168146500
7400072848,4/8/2025,167834000
7400073608,4/17/2025,75926250
7400074888,4/17/2025,136183250
7400074890,4/17/2025,112451250
7400074891,4/23/2025,143159000
7400075168,4/25/2025,173034250
7400076346,5/6/2025,161566500
7400077195,5/9/2025,49646000
7400078063,5/16/2025,116671650
7400078069,5/16/2025,130260500
7400078533,5/22/2025,207386250
7400078543,5/22/2025,90781000
7400078550,5/22/2025,71429250
7400079008,5/28/2025,30221000
7400079009,5/28/2025,160846500
7400083145,6/24/2025,189768000
7400084471,7/4/2025,77472500
7400084512,7/4/2025,161929000
7400084519,7/4/2025,102247000
7400085122,7/11/2025,19926750
7400085125,7/11/2025,18113250
7400085154,7/11/2025,106308500
7400085155,7/11/2025,228315400
7400085157,7/11/2025,150362900
7400085158,7/11/2025,99551750
7400085167,7/11/2025,103611000
7400085169,7/11/2025,153102750
7400087464,7/23/2025,167526000
7400087492,7/23/2025,60848750
7400087493,7/23/2025,99786750
7400087496,7/23/2025,132369150
7400089029,8/1/2025,613321500
7400089033,8/1/2025,166200800
7400090334,8/12/2025,177077500
7400090809,8/20/2025,166812500
7400091384,8/29/2025,158265250
7400091417,8/29/2025,203776250
7400091422,8/29/2025,183152500
7400093992,9/4/2025,196483750
7400093995,9/4/2025,75267250
7400094041,9/4/2025,121945750
7400094042,9/4/2025,196528250
7400094049,9/4/2025,133998250
7400094050,9/4/2025,36164500
7400094051,9/4/2025,61145750
7400094052,9/4/2025,57138250
7400094583,9/8/2025,210221250
7400096022,9/24/2025,173963500
7400097690,10/2/2025,137150250
7400097720,10/2/2025,99730500
7400097722,10/2/2025,254515250
7400099579,10/22/2025,73037500
7400100934,10/31/2025,128481750
7400100962,10/31/2025,118511250
7400100963,10/31/2025,77942500
7400100971,10/31/2025,164096500
7400102804,11/13/2025,54915750
7400107501,12/22/2025,250188000
7400107530,12/22/2025,14141250
7400107531,12/22/2025,20951750
7400107534,12/22/2025,198329000
7400107535,12/22/2025,173019750
7400111405,1/30/2026,62019000
7400111409,1/30/2026,34029250
7400111410,1/30/2026,111107250
7400111433,1/30/2026,14523000
7400113108,2/9/2026,43851750
7400113115,2/9/2026,117009000
7400113116,2/9/2026,124757000
7400113117,2/9/2026,126031000
7400114936,2/26/2026,91641250
7400114958,2/26/2026,172506950
7400114966,2/26/2026,90516500
7400114979,2/26/2026,34029250
7400114981,2/26/2026,111107250
7400117779,3/12/2026,175580650
7400119757,4/6/2026,219273500
7400119783,4/6/2026,165839250
7400119784,4/6/2026,173101000
7400120572,5/20/2026,174706250
7400120645,4/13/2026,115574000
7400120668,4/13/2026,165491000
7400120669,4/13/2026,164739000
7400121928,4/20/2026,162357750
7400121929,4/20/2026,179262750
7400121930,4/20/2026,191806750
7400121945,4/20/2026,186494750
7400121946,4/20/2026,177472500
7400121950,4/20/2026,77713250
7400122892,5/7/2026,218653000
7400122893,5/7/2026,203889500
7400122894,5/7/2026,216010500
7400122895,5/7/2026,181264250
7400122931,5/7/2026,112113250
7400122932,5/7/2026,170876750
7400122935,5/7/2026,50542000
7400122936,5/7/2026,115273250
7400123895,5/15/2026,182973750
7400124431,5/20/2026,42619250
7400124481,5/20/2026,211507750
7400125994,5/29/2026,173329000
7400125995,5/29/2026,218648000
7400126004,5/29/2026,70627500
7400126012,5/29/2026,146577500
7400126025,5/29/2026,140851500
7400126026,5/29/2026,173233250
7400126027,5/29/2026,85662500
7400126030,5/29/2026,102859000
7400126031,5/29/2026,81574750
7400128040,6/4/2026,181985500
7400128042,6/4/2026,194179750
7400128776,6/15/2026,82586250
7400128779,6/15/2026,197896000
7400128782,6/15/2026,175036250
7400128785,6/15/2026,180750000
7400128788,6/15/2026,129561750
7400128798,6/15/2026,156018250
7400128799,6/15/2026,151889250
7400128821,6/15/2026,197803000
7400128822,6/15/2026,180202000
